"","site.name","month","monthly_mean_pm2.5_2022_from_pm2.5","mean_pm2.5_2022_from2.5","monthly_mean_pm2.5_2023_from_pm2.5","mean_pm2.5_2023_from2.5"
"28","Red Lake Nation","April",4.77666666666667,4.65115606936416,1.25384615384615,8.22659279778393
"29","Red Lake Nation","May",3.36666666666667,4.65115606936416,6.31612903225806,8.22659279778393
"30","Red Lake Nation","June",3.71666666666667,4.65115606936416,18.6666666666667,8.22659279778393
"31","Red Lake Nation","July",3.45666666666667,4.65115606936416,14.0548387096774,8.22659279778393
"32","Red Lake Nation","August",2.44230769230769,4.65115606936416,14.0677419354839,8.22659279778393
"33","Red Lake Nation","September",2.33666666666667,4.65115606936416,15.06,8.22659279778393
"34","Red Lake Nation","October",4.74516129032258,4.65115606936416,4.46129032258064,8.22659279778393
"35","Red Lake Nation","November",5.60454545454545,4.65115606936416,4.42666666666667,8.22659279778393
"36","Red Lake Nation","December",4.39032258064516,4.65115606936416,6.33548387096774,8.22659279778393
"37","Fond du Lac Band","January",2.01666666666667,1.34840579710145,3.22068965517241,6.47
"38","Fond du Lac Band","February",2.11071428571429,1.34840579710145,1.75714285714286,6.47
"39","Fond du Lac Band","March",0.487096774193548,1.34840579710145,0.703448275862069,6.47
"40","Fond du Lac Band","April",-0.716666666666667,1.34840579710145,0.893333333333333,6.47
"41","Fond du Lac Band","May",0.390322580645161,1.34840579710145,5.56666666666667,6.47
"42","Fond du Lac Band","June",2.25,1.34840579710145,18.9533333333333,6.47
"43","Fond du Lac Band","July",2.27741935483871,1.34840579710145,11.4903225806452,6.47
"44","Fond du Lac Band","August",1.388,1.34840579710145,11.0290322580645,6.47
"45","Fond du Lac Band","September",1.61818181818182,1.34840579710145,9.32333333333333,6.47
"46","Fond du Lac Band","October",2.35806451612903,1.34840579710145,3.95483870967742,6.47
"47","Fond du Lac Band","November",1.3,1.34840579710145,4.14666666666667,6.47
"48","Fond du Lac Band","December",0.746153846153846,1.34840579710145,5.7741935483871,6.47
"49","Leech Lake Nation:","January",6.28333333333333,5.85890804597701,6.25185185185185,7.88777777777778
"50","Leech Lake Nation:","February",6.71428571428571,5.85890804597701,3.61428571428571,7.88777777777778
"51","Leech Lake Nation:","March",4.64193548387097,5.85890804597701,4.81935483870968,7.88777777777778
"52","Leech Lake Nation:","April",4.68666666666667,5.85890804597701,4.35333333333333,7.88777777777778
"53","Leech Lake Nation:","May",5.26129032258065,5.85890804597701,7.7258064516129,7.88777777777778
"54","Leech Lake Nation:","June",7.09,5.85890804597701,15.5275862068966,7.88777777777778
"55","Leech Lake Nation:","July",5.80322580645161,5.85890804597701,13.0387096774194,7.88777777777778
"56","Leech Lake Nation:","August",5.528,5.85890804597701,12.5806451612903,7.88777777777778
"57","Leech Lake Nation:","September",5.59,5.85890804597701,11.5333333333333,7.88777777777778
"58","Leech Lake Nation:","October",9.04193548387097,5.85890804597701,4.28387096774194,7.88777777777778
"59","Leech Lake Nation:","November",5.5,5.85890804597701,4.45666666666667,7.88777777777778
"60","Leech Lake Nation:","December",4.06451612903226,5.85890804597701,6.22903225806452,7.88777777777778
"61","Grand Portage Band","January",1.92258064516129,1.18787878787879,1.13571428571429,4.16916426512968
"62","Grand Portage Band","February",3.02692307692308,1.18787878787879,1.48928571428571,4.16916426512968
"63","Grand Portage Band","March",0.625806451612903,1.18787878787879,1.21290322580645,4.16916426512968
"64","Grand Portage Band","April",0.260714285714286,1.18787878787879,0.532,4.16916426512968
"65","Grand Portage Band","May",0.633333333333333,1.18787878787879,1.76774193548387,4.16916426512968
"66","Grand Portage Band","June",1.67666666666667,1.18787878787879,13.028,4.16916426512968
