"","X.1","X","site_ID","ID","Month_2015_from_pm2.5","monthly_mean_aqi_2015_from_pm2.5","monthly_mean_pm2.5_2015_from_pm2.5","n.obs_2015_from_pm2.5","Month_2015_from_pm10","monthly_mean_aqi_2015_from_pm10","monthly_mean_pm10_2015_from_pm10","n.obs_2015_from_pm10","Month_2016_from_pm2.5","monthly_mean_aqi_2016_from_pm2.5","monthly_mean_pm2.5_2016_from_pm2.5","n.obs_2016_from_pm2.5","Month_2016_from_pm10","monthly_mean_aqi_2016_from_pm10","monthly_mean_pm10_2016_from_pm10","n.obs_2016_from_pm10","Month_2017_from_pm2.5","monthly_mean_aqi_2017_from_pm2.5","monthly_mean_pm2.5_2017_from_pm2.5","n.obs_2017_from_pm2.5","Month_2017_from_pm10","monthly_mean_aqi_2017_from_pm10","monthly_mean_pm10_2017_from_pm10","n.obs_2017_from_pm10","Month_2018_from_pm2.5","monthly_mean_aqi_2018_from_pm2.5","monthly_mean_pm2.5_2018_from_pm2.5","n.obs_2018_from_pm2.5","Month_2018_from_pm10","monthly_mean_aqi_2018_from_pm10","monthly_mean_pm10_2018_from_pm10","n.obs_2018_from_pm10","Month_2019_from_pm2.5","monthly_mean_aqi_2019_from_pm2.5","monthly_mean_pm2.5_2019_from_pm2.5","n.obs_2019_from_pm2.5","Month_2019_from_pm10","monthly_mean_aqi_2019_from_pm10","monthly_mean_pm10_2019_from_pm10","n.obs_2019_from_pm10","Month_2020_from_pm2.5","monthly_mean_aqi_2020_from_pm2.5","monthly_mean_pm2.5_2020_from_pm2.5","n.obs_2020_from_pm2.5","Month_2020_from_pm10","monthly_mean_aqi_2020_from_pm10","monthly_mean_pm10_2020_from_pm10","n.obs_2020_from_pm10","interstate","distance_feet","distance_mi","name_pp","active_flag","fuel_type","PP_distance_feet","PP_distance_mi","med_income","Month_2021_from_pm2.5","monthly_mean_pm2.5_2021_from_pm2.5","Month_2022_from_pm2.5","monthly_mean_pm2.5_2022_from_pm2.5","Month_2023_from_pm2.5","monthly_mean_pm2.5_2023_from_pm2.5"
"219",219,219,"Leech Lake Nation:","Leech Lake Nation:_February",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"February",29.33333333,7.038095238,21,NA,NA,NA,NA,"February",24.40740741,6.018518519,27,NA,NA,NA,NA,"February",18.67857143,4.496428571,28,NA,NA,NA,NA,"35",584707.2,110.74,"Virginia Department of Public Utilities","Y","Coal/Natural gas/Biomass",511107.044,96.82126913,21071,"February",13.46666667,"February",6.71428571428571,"February",3.61428571428571
"220",220,220,"Leech Lake Nation:","Leech Lake Nation:_January",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"January",21.66666667,5.166666667,3,NA,NA,NA,NA,"January",27.40740741,6.7,27,NA,NA,NA,NA,"January",21.09677419,5.341935484,31,NA,NA,NA,NA,"35",584707.2,110.74,"Virginia Department of Public Utilities","Y","Coal/Natural gas/Biomass",511107.044,96.82126913,21071,"January",9.873076923,"January",6.28333333333333,"January",6.25185185185185
"221",221,221,"Leech Lake Nation:","Leech Lake Nation:_August",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"August",42.19354839,11.84516129,31,NA,NA,NA,NA,"August",12.83870968,3.077419355,31,NA,NA,NA,NA,"August",13.22580645,3.129032258,31,NA,NA,NA,NA,"35",584707.2,110.74,"Virginia Department of Public Utilities","Y","Coal/Natural gas/Biomass",511107.044,96.82126913,21071,"August",18.90322581,"August",5.528,"August",12.5806451612903
"222",222,222,"Leech Lake Nation:","Leech Lake Nation:_December",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"December",31.19354839,7.880645161,31,NA,NA,NA,NA,"December",25.82758621,6.348275862,29,NA,NA,NA,NA,"December",35.51612903,8.829032258,31,NA,NA,NA,NA,"35",584707.2,110.74,"Virginia Department of Public Utilities","Y","Coal/Natural gas/Biomass",511107.044,96.82126913,21071,"December",5.919354839,"December",4.06451612903226,"December",6.22903225806452
"223",223,223,"Leech Lake Nation:","Leech Lake Nation:_June",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"June",22.1,5.316666667,30,NA,NA,NA,NA,"June",10.13333333,2.433333333,30,NA,NA,NA,NA,"June",13,3.073333333,30,NA,NA,NA,NA,"35",584707.2,110.74,"Virginia Department of Public Utilities","Y","Coal/Natural gas/Biomass",511107.044,96.82126913,21071,"June",11.76,"June",7.09,"June",15.5275862068966
"224",224,224,"Leech Lake Nation:","Leech Lake Nation:_March",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"March",27.93548387,6.819354839,31,NA,NA,NA,NA,"March",28.03225806,6.864516129,31,NA,NA,NA,NA,"March",18.14285714,4.339285714,28,NA,NA,NA,NA,"35",584707.2,110.74,"Virginia Department of Public Utilities","Y","Coal/Natural gas/Biomass",511107.044,96.82126913,21071,"March",10.55769231,"March",4.64193548387097,"March",4.81935483870968
"225",225,225,"Leech Lake Nation:","Leech Lake Nation:_May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"May",29.16129032,7.019354839,31,NA,NA,NA,NA,"May",7.133333333,1.596666667,30,NA,NA,NA,NA,"May",12.2,2.88,30,NA,NA,NA,NA,"35",584707.2,110.74,"Virginia Department of Public Utilities","Y","Coal/Natural gas/Biomass",511107.044,96.82126913,21071,"May",11.43225806,"May",5.26129032258065,"May",7.7258064516129
"226",226,226,"Leech Lake Nation:","Leech Lake Nation:_July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"July",22.75862069,5.54137931,29,NA,NA,NA,NA,"July",21.80645161,5.822580645,31,NA,NA,NA,NA,"July",11.30434783,2.608695652,23,NA,NA,NA,NA,"35",584707.2,110.74,"Virginia Department of Public Utilities","Y","Coal/Natural gas/Biomass",511107.044,96.82126913,21071,"July",35.91612903,"July",5.80322580645161,"July",13.0387096774194
"227",227,227,"Leech Lake Nation:","Leech Lake Nation:_October",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"October",12.09677419,2.909677419,31,NA,NA,NA,NA,"October",8.967741935,2.074193548,31,NA,NA,NA,NA,"October",13.91666667,3.329166667,24,NA,NA,NA,NA,"35",584707.2,110.74,"Virginia Department of Public Utilities","Y","Coal/Natural gas/Biomass",511107.044,96.82126913,21071,"October",11.57096774,"October",9.04193548387097,"October",4.28387096774194
"228",228,228,"Leech Lake Nation:","Leech Lake Nation:_November",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"November",23.86666667,5.7,30,NA,NA,NA,NA,"November",9.52,2.216,25,NA,NA,NA,NA,"November",21.16666667,5.06,30,NA,NA,NA,NA,"35",584707.2,110.74,"Virginia Department of Public Utilities","Y","Coal/Natural gas/Biomass",511107.044,96.82126913,21071,"November",10.14,"November",5.5,"November",4.45666666666667
